player_id,web_name,team,element_type,game_no,total_points,attack_strength,defence_strength,n_total_points,n_minutes,n_goals_scored,n_assists,n_clean_sheets,n_goals_conceded,n_saves,n_bonus,n_bps,n_influence,n_creativity,n_threat,n_ict_index,n_ea_index,n_open_play_crosses,n_big_chances_created,n_clearances_blocks_interceptions,n_recoveries,n_key_passes,n_tackles,n_winning_goals,n_attempted_passes,n_completed_passes,n_penalties_conceded,n_big_chances_missed,n_errors_leading_to_goal,n_errors_leading_to_goal_attempt,n_tackled,n_offside,n_target_missed,n_fouls,n_dribbles,n_attack_strength,n_defence_strength
2,Leno,Arsenal,Goalkeeper,20,14,430,850,15,450,0,0,1,7,12,1,85,86.8,0,0,8.700000000000001,0,0,0,6,42,0,0,0,172,128,0,0,1,0,0,0,0,0,0,790,1150
2,Leno,Arsenal,Goalkeeper,19,14,410,770,15,450,0,0,1,8,14,1,82,88.2,0,0,8.8,0,0,0,6,42,0,0,0,166,115,0,0,2,0,0,0,0,0,0,510,990
2,Leno,Arsenal,Goalkeeper,18,10,730,1050,16,450,0,0,1,8,18,1,91,106.8,0,0,10.7,0,0,0,4,48,0,0,0,163,108,0,0,2,0,0,0,0,0,0,410,910
2,Leno,Arsenal,Goalkeeper,17,10,780,1080,18,450,0,0,1,6,18,2,95,117.2,0,0,11.7,0,0,0,3,53,0,0,0,154,100,0,0,1,0,0,0,0,0,0,400,770
2,Leno,Arsenal,Goalkeeper,16,14,790,1050,14,450,0,0,0,7,21,1,85,134.4,0,0,13.5,0,0,0,4,53,0,0,0,143,96,0,0,2,0,0,0,0,0,0,60,470
2,Leno,Arsenal,Goalkeeper,15,15,790,1150,13,450,0,0,0,7,17,1,75,119,0,0,11.9,0,0,0,8,47,0,0,0,135,96,0,0,2,0,0,0,0,0,0,350,550
2,Leno,Arsenal,Goalkeeper,14,15,510,990,13,450,0,0,0,6,15,1,75,111.8,0,0,11.200000000000001,0,0,0,8,51,0,0,0,131,100,0,0,1,0,0,0,0,0,0,590,690
2,Leno,Arsenal,Goalkeeper,13,16,410,910,13,450,0,0,0,6,13,1,74,101.6,0,0,10.200000000000001,0,0,0,9,55,0,0,0,129,110,0,0,1,0,0,0,0,0,0,640,760
2,Leno,Arsenal,Goalkeeper,12,18,400,770,11,405,0,0,0,5,12,0,67,97,0,0,9.700000000000001,0,0,0,11,44,0,0,0,128,104,0,0,1,0,0,0,0,0,0,590,840
2,Leno,Arsenal,Goalkeeper,11,14,60,470,8,315,0,0,0,4,9,0,55,73.4,0,0,7.300000000000001,0,0,0,9,37,0,0,0,101,81,0,0,0,0,0,0,0,0,0,780,1100
2,Leno,Arsenal,Goalkeeper,10,13,350,550,7,225,0,0,0,2,8,0,43,64.2,0,0,6.4,0,0,0,4,31,0,0,0,77,58,0,0,0,0,0,0,0,0,0,780,1170
2,Leno,Arsenal,Goalkeeper,9,13,590,690,5,135,0,0,0,1,6,0,30,48,0,0,4.800000000000001,0,0,0,3,20,0,0,0,51,37,0,0,0,0,0,0,0,0,0,800,1270
2,Leno,Arsenal,Goalkeeper,8,13,640,760,2,45,0,0,0,0,3,0,11,26.4,0,0,2.6,0,0,0,2,3,0,0,0,18,12,0,0,0,0,0,0,0,0,0,730,1180
2,Leno,Arsenal,Goalkeeper,7,11,590,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,970
2,Leno,Arsenal,Goalkeeper,6,8,780,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,720
2,Leno,Arsenal,Goalkeeper,5,7,780,1170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Leno,Arsenal,Goalkeeper,4,5,800,1270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Leno,Arsenal,Goalkeeper,3,2,730,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Leno,Arsenal,Goalkeeper,2,0,560,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Leno,Arsenal,Goalkeeper,1,0,360,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Koscielny,Arsenal,Defender,34,3,970,1160,17,270,0,0,2,1,0,3,65,63.8,10.700000000000001,2,7.7,0,0,0,21,10,1,1,0,119,102,0,0,0,0,0,0,0,2,0,230,760
3,Koscielny,Arsenal,Defender,33,11,860,1090,17,270,1,0,1,2,0,1,65,92.4,11.8,21,12.5,0,0,0,21,9,1,1,0,131,112,0,0,0,0,0,0,0,2,0,230,790
3,Koscielny,Arsenal,Defender,32,11,670,1040,18,304,1,0,1,2,0,1,68,95.2,11.9,21,12.8,0,0,0,23,10,1,1,0,148,127,0,0,0,0,1,0,0,2,0,330,840
3,Koscielny,Arsenal,Defender,31,11,750,1120,21,394,1,0,1,3,0,2,93,135.4,12,21,16.8,0,0,0,37,17,1,3,0,189,164,0,0,0,0,1,0,0,2,0,380,880
3,Koscielny,Arsenal,Defender,30,16,470,900,22,394,2,0,0,6,0,2,95,174.8,1.7999999999999998,52,22.8,0,0,0,43,17,0,3,0,186,164,0,0,0,0,1,0,0,2,0,360,830
3,Koscielny,Arsenal,Defender,29,17,230,760,20,304,2,0,0,5,0,2,84,153,1.7999999999999998,52,20.6,0,0,0,34,14,0,3,0,163,149,0,0,0,0,1,0,0,2,0,650,1110
3,Koscielny,Arsenal,Defender,28,17,230,790,26,304,2,0,1,4,0,4,95,169.8,0.8,67,23.7,0,0,0,43,13,0,3,0,126,111,0,1,0,0,1,0,0,2,0,450,880
3,Koscielny,Arsenal,Defender,27,18,330,840,27,360,2,0,1,5,0,4,109,184.6,2,67,25.3,0,0,0,43,18,0,4,0,198,183,0,1,0,0,0,0,0,2,0,430,850
3,Koscielny,Arsenal,Defender,26,21,380,880,26,360,2,0,1,5,0,3,103,173.2,2.5,69,24.4,0,0,0,39,17,0,3,0,221,203,0,1,0,0,0,0,0,2,0,410,880
3,Koscielny,Arsenal,Defender,25,22,360,830,20,315,1,0,1,3,0,3,87,124.8,2.4,36,16.3,0,0,0,31,19,0,3,0,223,207,0,1,0,0,0,0,0,2,0,430,850
3,Koscielny,Arsenal,Defender,24,20,650,1110,22,384,1,0,1,4,0,3,104,143.2,2.8000000000000003,38,18.400000000000002,0,0,0,35,22,0,4,0,297,277,0,1,0,0,0,0,0,2,0,410,770
3,Koscielny,Arsenal,Defender,23,26,450,880,7,294,0,0,0,4,0,0,63,73.4,2.4,4,8,0,0,0,18,19,0,3,0,265,250,0,0,0,0,0,0,0,1,0,730,1050
3,Koscielny,Arsenal,Defender,22,27,430,850,5,294,0,0,0,6,0,0,57,82,1.8,11,9.5,0,0,0,22,21,0,2,0,268,248,0,0,0,0,0,0,1,3,0,780,1080
3,Koscielny,Arsenal,Defender,21,26,410,880,3,204,0,0,0,5,0,0,38,53.199999999999996,1.2,9,6.4,0,0,0,12,15,0,1,0,204,191,0,0,0,0,0,0,1,3,0,790,1050
3,Koscielny,Arsenal,Defender,20,20,430,850,2,159,0,0,0,4,0,0,28,44.599999999999994,1.1,9,5.5,0,0,0,10,11,0,1,0,166,155,0,0,0,0,0,0,1,2,0,790,1150
3,Koscielny,Arsenal,Defender,19,22,410,770,0,90,0,0,0,3,0,0,11,26.2,0.7,7,3.4,0,0,0,6,8,0,0,0,92,85,0,0,0,0,0,0,1,2,0,510,990
3,Koscielny,Arsenal,Defender,18,7,730,1050,0,90,0,0,0,3,0,0,11,26.2,0.7,7,3.4,0,0,0,6,8,0,0,0,92,85,0,0,0,0,0,0,1,2,0,410,910
3,Koscielny,Arsenal,Defender,17,5,780,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,770
3,Koscielny,Arsenal,Defender,16,3,790,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,470
3,Koscielny,Arsenal,Defender,15,2,790,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,550
3,Koscielny,Arsenal,Defender,14,0,510,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,690
3,Koscielny,Arsenal,Defender,13,0,410,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,760
3,Koscielny,Arsenal,Defender,12,0,400,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,840
